cultura;categoria;descripcio;experiencia;temps;nivell;versio
es-ES;Otros;GIT;1;año;Experto;-
es-ES;Otros;SVN;2;año;Experto;-
es-ES;Otros;CSV;10;año;Experto;-
es-ES;Otros;Grails;4;mes;Mig;-
es-ES;Otros;GIS (Geolocalitzación);4;mes;Mig;-
es-ES;Otros;Ajax;12;año;Alto;-
es-ES;Otros;JQuery;12;año;Alto;-
es-ES;Otros;SourceForge;1;mes;Bajo;-
es-ES;Otros;GP Version;1;mes;Bajo;-
es-ES;Otros;Telerik;2;año;Alto;-
es-ES;Otros;Sharepoint;1;año;Bajo;-
es-ES;Otros;SCRUM-TFS;12;año;Alto;-
es-ES;Otros;SCRUM-Jira;1;año;Alto;-
es-ES;Otros;CMS;3;año;Mig;-
es-ES;Otros;ActiveX;ca-ES;23;any;Alt;-
es-ES;Otros;Internet information Server (IIS);18;any;6, 7, 8, Express;Expert;-
es-ES;Otros;Visual Studio;18;año;Experto;2015, 2013, 2012, 2010, 2008, 2005, 2003, 6.0, Code
es-ES;Otros;Atom;1;año;Experto;-
es-ES;Otros;Notepad++;1;año;Experto;-
en-GB;Programmer Language;Php;2;year;Expert;5
en-GB;Programmer Language;Angular;1;year;Medum;Js
en-GB;Programmer Language;Angular;6;month;Medum;2
en-GB;Programmer Language;Angular;2;month;Medum;4
en-GB;Programmer Language;Grunt;1;year;High;-
en-GB;Programmer Language;Karma;1;year;High;-
en-GB;Programmer Language;Jasmine;1;year;High;-
en-GB;Programmer Language;VB.Net;15;year;Expert;.Net
en-GB;Programmer Language;C#;14;year;Expert;.Net
en-GB;Programmer Language;ASP.Net;15;year;Expert;.Net
en-GB;Programmer Language;ASP;22;year;Expert;classical
en-GB;Programmer Language;HTML;12;year;Expert;5
en-GB;Programmer Language;HTML;22;year;Expert;-
en-GB;Programmer Language;JavaScript;22;year;Expert;-
en-GB;Programmer Language;C/C++;25;year;High;-
en-GB;Programmer Language;Java;11;year;High;-
en-GB;Programmer Language;JSP;11;year;High;-
en-GB;Programmer Language;CSS;22;year;Expert;3
en-GB;Programmer Language;SASS;1;month;Expert;-
en-GB;Programmer Language;Visual Basic;22;year;High;3, 4, 5
en-GB;Programmer Language;XSL;5;month;High;-
en-GB;Programmer Language;XML;15;year;Expert;-
en-GB;Programmer Language;MVC;8;year;Expert;3, 4, 5, .Net
en-GB;Programmer Language;Entity Framework (EF);2;month;Medum;.Net
en-GB;Programmer Language;Linq (EF);8;year;Medum;.Net
en-GB;Programmer Language;NHibernate;10;month;Medum;.Net
en-GB;Programmer Language;Microsoft Framework;15;year;Expert;1, 1.1, 2, 3.5, 4, 4.5
en-GB;Programmer Language;Ajax;12;year;High;-
en-GB;Programmer Language;JQuery;12;year;High;-
en-GB;Database;Oracle;15;year;Expert;8, 9, 10, 11
en-GB;Database;SQL Server;20;year;Expert;97, 2003, 2005, 2008, 2014, 2016
en-GB;Database;MS Access;15;year;Expert;-
en-GB;Database;MySQL;1;year;High;-
en-GB;Database;Mongo DB;1;year;Low;-
en-GB;Database;Cloudant DB;1;year;Low;-
en-GB;Operative System;Windows;24;year;Expert;95, 98, NT, 2000 Pro, XP, Vista, 7, 8, 10
en-GB;Operative System;Unix;23;year;High;User, Administrator
en-GB;Operative System;Ubuntu;2;year;High;-
en-GB;Other;Kentico;6;month;Medum;-
en-GB;Other;TFS;10;year;Expert;-
en-GB;Other;GIT;1;year;Expert;-
en-GB;Other;SVN;2;year;Expert;-
en-GB;Other;CSV;10;year;Expert;-
en-GB;Other;Grails;4;month;Medum;-
en-GB;Other;GIS (Geolocation);4;month;Medum;-
en-GB;Other;Ajax;12;year;High;-
en-GB;Other;JQuery;12;year;High;-
en-GB;Other;SourceForge;1;month;Baix;-
en-GB;Other;GP Version;1;month;Baix;-
en-GB;Other;Telerik;2;year;High;-
en-GB;Other;Sharepoint;1;year;Low;-
en-GB;Other;SCRUM-TFS;12;year;High;-
en-GB;Other;SCRUM-Jira;1;year;High;-
en-GB;Other;CMS;3;year;Medum;-
en-GB;Other;ActiveX;Medum;-
en-GB;Other;Internet information Server (IIS);18;any;6, 7, 8, Express;Expert;-
en-GB;Other;Visual Studio;18;year;Expert;2015, 2013, 2012, 2010, 2008, 2005, 2003, 6.0, Code
en-GB;Other;Atom;1;year;Expert;-
en-GB;Other;Notepad++;1;year;Expert;-
