cultura;any;descripcio;academia
ca-ES;1994;Informàtica de Gestió;Universitat Oberta de Catalunya (UOC)
ca-ES;1992;informática de Gestió;Escoles Professionales Salesianes de Sarrià (EPSS)
es-ES;1994;Informática de Gestión;Universitat Oberta de Catalunya (UOC)
es-ES;1992;informática de Gestión;Escuelas Profesionales Salesianos de Sarriá (EPSS)
en-GB;1994;Bussiness's Programmer;Universitat Oberta de Catalunya (UOC)
en-GB;1992;Bussiness's Programmer;Escuelas Profesionales Salesianos de Sarriá (EPSS)
